Nivå	HTG	HT	GT_nr	Basic type	S_kode	Name		KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap
LA	I	ID	13	ID-13	LA-ID-13	Åpent dallandskap i lavlandet med større innsjø og høyt jordbrukspreg	Open valley with lake and agriculture		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	67	1
LA	I	ID	14	ID-14	LA-ID-14	Åpent dallandskap i lavlandet med større innsjø og med bebyggelse/infrastruktur	Open valley with lake with settlements 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	68	0
LA	I	ID	15	ID-15	LA-ID-15	Åpent dallandskap i lavlandet med større innsjø med bebyggelse/infrastrukturog høyt jordbrukspreg	Open valley with lake with settlements and agriculture		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	69	0
LA	I	ID	16	ID-16	LA-ID-16	Åpent dallandskap i lavlandet med større innsjø og tettsted 	Open valley with lake with village 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	70	0
LA	I	ID	17	ID-17	LA-ID-17	Åpent dallandskap ved skoggrensen med større innsjø 	Open lower mountain valley with lake 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	71	1
LA	I	ID	18	ID-18	LA-ID-18	Åpent dallandskap ved skoggrensen med større innsjø og bebyggelse/infrastruktur	Open lower mountain valley with lake with settlements 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	72	0
LA	I	ID	19	ID-19	LA-ID-19	Åpent dallandskap i  med vegetasjonsdekke i fjellet med større innsjø 	Open mountain valley with lake 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	73	1
LA	I	ID	2	ID-2	LA-ID-2	Åpent dallandskap i lavlandet med høyt jordbrukspreg	Open valley and agriculture		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	56	1
LA	I	ID	20	ID-20	LA-ID-20	Åpent dallandskap med bart fjell/blokkmark og med større innsjø 	Open barren mountain valley with lake 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	74	1
LA	I	ID	21	ID-21	LA-ID-21	Åpent dallandskap i lavlandet med innlandsfjord 	Open valley with larger lake 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	75	1
LA	I	ID	22	ID-22	LA-ID-22	Åpent dallandskap i lavlandet med innlandsfjord og bebyggelse/infrastruktur	Open valley with larger lake with settlements 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	76	0
LA	I	ID	23	ID-23	LA-ID-23	Åpent dallandskap i lavlandet med innlandsfjord og bebyggelse/infrastrukturog høyt jordbrukspreg	Open valley with larger lake with settlements and agriculture		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	77	0
LA	I	ID	24	ID-24	LA-ID-24	Åpent dallandskap i lavlandet med innlandsfjord og tettsted 	Open valley with larger lake with village 		KLG_RE-ID-KF-1				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	78	0
